,Sr_1_A=2.13,Sr_2_A=10.96,Sr_3_A=21.03,Sr_4_A=30.56,Sr_5_A=49.57,K_1_A=14.6,K_2_A=7.4,K_3_A=10.3,K_4_A=12
0.02,0.1374,0.15079999999999996,0.3594,0.9088,0.6186,0.22800000000000004,0.472,0.07400000000000001,0.010000000000000009
0.05,0.12350000000000001,0.132,0.23849999999999993,0.6720000000000002,1.9114999999999993,0.19000000000000006,0.41,-0.10500000000000004,0.09999999999999987
0.1,0.097,0.484,0.367,1.2539999999999996,1.722999999999999,0.06000000000000005,0.22999999999999987,-0.020000000000000018,0.2699999999999998
0.15,0.22050000000000008,0.3959999999999999,1.1954999999999996,3.6660000000000004,2.5945,0.29000000000000004,0.029999999999999805,-0.14500000000000024,-0.1299999999999999
0.2,0.14399999999999996,0.4179999999999997,1.0139999999999993,2.9879999999999995,3.365999999999998,-0.31000000000000005,0.05999999999999983,-0.3800000000000001,-0.39000000000000057
0.25,0.10750000000000004,0.7199999999999998,0.5824999999999996,2.920000000000001,2.9674999999999994,-0.17999999999999972,-0.020000000000000018,-0.43500000000000005,-0.5
